p.person_id,p.person_name,job.report_year,job.job_name,job.monthly_salary,job.job_id
76,"Mr Milutin Simović",2012,"POSLANIK SKUPŠTINE CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1700 €",,240
93,"Redžep Taganović",2013,"ODBORNIK - Postavljena od: SO ULCINJ - visina mjesecne zarade 150 €",,241
93,"Redžep Taganović",2013,"ODBORNIK - Postavljena od: SO ULCINJ - visina mjesecne zarade 150 €",,242
20,"Miodrag Radunović",2013,"MINISTAR - Postavljena od: MINISTARSTVO ZDRAVLJA - visina mjesecne zarade 1.054 €",,243
94,"Ljubica Džaković",2009,"POSLANIK - SKUPŠTINA CRNE GORE",,244
95,"Genci Nimanbegu",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1216.07 €",,245
95,"Genci Nimanbegu",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1216.07 €",,246
79,"Hajran Kalač",2008,"POSLANIK U SKUPŠTINI CRNE GORE",,247
79,"Hajran Kalač",2008,"POSLANIK U SKUPŠTINI CRNE GORE",,248
79,"Hajran Kalač",2008,"POSLANIK U SKUPŠTINI CRNE GORE",,249
87,"Miodrag Iličković",2008,"POSLANIK U SKUPŠTINI CG",,250
96,"Adis Balota",2011,"POMOĆNIK MINISTRA - Postavljena od: MINISTARSTVO ZA INFORMACIONO DRUŠTVO - visina mjesecne zarade 610 €",,251
96,"Adis Balota",2011,"POMOĆNIK MINISTRA - Postavljena od: MINISTARSTVO ZA INFORMACIONO DRUŠTVO - visina mjesecne zarade 610 €",,252
16,"Damir Šehović",2014,"POSLANIK U SKUPŠTINI CRNE GORE - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 596,57 € + 225 €",,253
97,"Zoran Bošnjak",2007,"DIREKTOR REGIONALNOG VODOVODA - BUDVA",,254
98,"Sreten Škuletić",2011,"MINISTAR (DATUM PRESTANKA FUNKCIJE - 16.04.2010) - Postavljena od: MINISTARSTVO PROSVJETE I NAUKA - visina mjesecne zarade 1 226.77 €",,255
60,"Husnija Š. Šabović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 800 €",,256
60,"Husnija Š. Šabović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 800 €",,257
60,"Husnija Š. Šabović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 800 €",,258
60,"Husnija Š. Šabović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 800 €",,259
60,"Husnija Š. Šabović",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 800 €",,260
99,"Miloje Drobnjak",2007,"POSLANIK U SKUPŠTINI RCG","302 EURA",261
99,"Miloje Drobnjak",2007,"POSLANIK U SKUPŠTINI RCG",,262
100,"Milorad Vuletić",2007,"POSLANIK U SKUPŠTINI CRNE GORE",,263
50,"Branko Čavor",2014,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1300 € (+ 225 € SKUPŠTINSKI DODATAK)",,264
50,"Branko Čavor",2014,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1300 € (+ 225 € SKUPŠTINSKI DODATAK)",,265
101,"Milo Ðukanović",2009,"PREDSJEDNIK VLADE CRNE GORE",,266
15,"Milo Đukanović",2009,"PREDSJEDNIK VLADE CRNE GORE",,267
102,"Zoran Srzentić",2010,"DIREKTOR - Postavljena od: BOLNICA BAR - visina mjesecne zarade 1900",,268
102,"Zoran Srzentić",2010,"DIREKTOR - Postavljena od: BOLNICA BAR - visina mjesecne zarade 1900",,269
69,"Veljko Zarubica",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1498 + 225 € SKUPŠTINSKI DODATAK",,270
69,"Veljko Zarubica",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1498 + 225 € SKUPŠTINSKI DODATAK",,271
39,"Milan Roćen",2012,"MINISTAR VANJSKIH POSLOVA - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1.208.81 €",,272
12,"Dr Igor Lukšić",2013,"POTPREDSJEDNIK VLADE I MINISTAR VANJSKIH POSLOVA I EVROPSKIH INTEGRACIJA - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1030 € (+ 435 € za rad u radnom tijelu)",,273
12,"Dr Igor Lukšić",2013,"POTPREDSJEDNIK VLADE I MINISTAR VANJSKIH POSLOVA I EVROPSKIH INTEGRACIJA - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1030 € (+ 435 € za rad u radnom tijelu)",,274
12,"Dr Igor Lukšić",2013,"POTPREDSJEDNIK VLADE I MINISTAR VANJSKIH POSLOVA I EVROPSKIH INTEGRACIJA - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1030 € (+ 435 € za rad u radnom tijelu)",,275
12,"Dr Igor Lukšić",2013,"POTPREDSJEDNIK VLADE I MINISTAR VANJSKIH POSLOVA I EVROPSKIH INTEGRACIJA - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1030 € (+ 435 € za rad u radnom tijelu)",,276
12,"Dr Igor Lukšić",2013,"POTPREDSJEDNIK VLADE I MINISTAR VANJSKIH POSLOVA I EVROPSKIH INTEGRACIJA - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1030 € (+ 435 € za rad u radnom tijelu)",,277
12,"Dr Igor Lukšić",2013,"POTPREDSJEDNIK VLADE I MINISTAR VANJSKIH POSLOVA I EVROPSKIH INTEGRACIJA - Postavljena od: VLADA CRNE GORE - visina mjesecne zarade 1030 € (+ 435 € za rad u radnom tijelu)",,278
76,"Mr Milutin Simović",2009,"MINISTAR POLJOPRIVREDE, ŠUMARSTVA I VODOPRIVREDE","173 € POR. PENZIJA",279
76,"Mr Milutin Simović",2009,"MINISTAR POLJOPRIVREDE, ŠUMARSTVA I VODOPRIVREDE",,280
48,"Miomir Vojinović",2012,"ODBORNIK - Postavljena od: SO BIJELO POLJE - visina mjesecne zarade 137 €",,281
48,"Miomir Vojinović",2012,"ODBORNIK - Postavljena od: SO BIJELO POLJE - visina mjesecne zarade 137 €",,282
86,"Nikola Gegaj",2005,"POSLANIK U SKUPŠTINI DZ SRBIJA I CRNA GORA",,283
103,"Dragan Ðurović",2009,"DIREKTOR - AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO",,284
104,"Dragan Đurović",2009,"DIREKTOR - AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO",,285
103,"Dragan Ðurović",2009,"DIREKTOR - AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO",,286
104,"Dragan Đurović",2009,"DIREKTOR - AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO",,287
103,"Dragan Ðurović",2009,"DIREKTOR - AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO",,288
104,"Dragan Đurović",2009,"DIREKTOR - AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO",,289
103,"Dragan Ðurović",2014,"DIREKTOR - Postavljena od: AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO - visina mjesecne zarade /",,290
104,"Dragan Đurović",2014,"DIREKTOR - Postavljena od: AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO - visina mjesecne zarade /",,291
103,"Dragan Ðurović",2014,"DIREKTOR - Postavljena od: AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO - visina mjesecne zarade /",,292
104,"Dragan Đurović",2014,"DIREKTOR - Postavljena od: AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO - visina mjesecne zarade /",,293
103,"Dragan Ðurović",2014,"DIREKTOR - Postavljena od: AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO - visina mjesecne zarade /",,294
104,"Dragan Đurović",2014,"DIREKTOR - Postavljena od: AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVO - visina mjesecne zarade /",,295
31,"Rešid Adrović",2012,"ODBORNIK - Postavljena od: SO BERANE - visina mjesecne zarade 100",,296
31,"Rešid Adrović",2012,"ODBORNIK - Postavljena od: SO BERANE - visina mjesecne zarade 100",,297
31,"Rešid Adrović",2012,"ODBORNIK - Postavljena od: SO BERANE - visina mjesecne zarade 100",,298
21,"Nebojša Medojević",2013,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1450 €",,299
21,"Nebojša Medojević",2013,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1450 €",,300
105,"Predrag Nenezić",2007,"MINISTAR TURIZMA I ZAŠTITE ŽIVOTNE SREDINE",,301
37,"Milan Knežević",2013,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1267,30 € + 225 €",,302
62,"Šefkija Murić",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1212 €",,303
62,"Šefkija Murić",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1212 €",,304
62,"Šefkija Murić",2011,"POSLANIK - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1212 €",,305
105,"Predrag Nenezić",2008,"MINISTAR TURIZMA I ZAŠTITE ŽIVOTNE SREDINE",,306
4,"Slaven Radunović",2009,"POSLANIK U SKUPŠTINI CG",,307
4,"Slaven Radunović",2009,"POSLANIK U SKUPŠTINI CG",,308
106,"Miodrag Vlahović",2005,"MINISTAR INOSTRANIH POSLOVA",,309
106,"Miodrag Vlahović",2005,"MINISTAR INOSTRANIH POSLOVA",,310
106,"Miodrag Vlahović",2005,"MINISTAR INOSTRANIH POSLOVA",,311
45,"Branko Radulović",2009,"POSLANIK U SKUPŠTINI C.G.",,312
107,"Velizar Kaluđerović",2013,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1380 € + 220 € varijabila",,313
108,"Vuksan Simonović",2006,"POSLANIK U SKUPŠTINI RCG",,314
108,"Vuksan Simonović",2006,"POSLANIK U SKUPŠTINI RCG",,315
96,"Adis Balota",2009,"POMOCNIK MINISTRA",,316
96,"Adis Balota",2009,"POMOCNIK MINISTRA",,317
22,"Zoran Gospić",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1. PAUŠAL (258+225) 2. ČLANSTVO I RAD U RADNIM TIJELIMA",,318
22,"Zoran Gospić",2010,"POSLANIK - Postavljena od: SKUPŠTINA CG - visina mjesecne zarade 1. PAUŠAL (258+225) 2. ČLANSTVO I RAD U RADNIM TIJELIMA",,319
109,"Ðorðe Pinjatić",2007,"POSLANIK U SKUPŠTINI RCG",,320
44,"Đorđe Pinjatić",2007,"POSLANIK U SKUPŠTINI RCG",,321
67,"Emilo Labudović",2014,"POSLANIK U SKUPŠTINI CG - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1220 €",,322
67,"Emilo Labudović",2014,"POSLANIK U SKUPŠTINI CG - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1220 €",,323
67,"Emilo Labudović",2014,"POSLANIK U SKUPŠTINI CG - Postavljena od: SKUPŠTINA CRNE GORE - visina mjesecne zarade 1220 €",,324
30,"Slavko Hrvačević",2008,"POSLANIK U SKUPŠTINI CRNE GORE",,325
110,"Slobodan Radović",2012,"ODBORNIK - Postavljena od: SO HERCEG NOVI - visina mjesecne zarade 130 €",,326
110,"Slobodan Radović",2012,"ODBORNIK - Postavljena od: SO HERCEG NOVI - visina mjesecne zarade 130 €",,327
