c.company_id,company_name,company_city,p.person_id,person_name,year,shares,nominal_value,obtained_through
8,AD PLANTAŽE,Podgorica,113,Zoran Gospić,2010,0.0015,950,
115,DUVANSKI KOM.,Podgorica,113,Zoran Gospić,2010,0.0072,447,
116,INSTITUT S. MILOŠEVIĆ,Herceg Novi,113,Zoran Gospić,2010,0.0010,1650,
117,JUFOPEREOL,Kotor,113,Zoran Gospić,2010,0.0019,721,
118,POBJEDA,Podgorica,113,Zoran Gospić,2010,0.0010,1198,
119,TRED,Podgorica,113,Zoran Gospić,2010,0.0020,313,
120,BARSKA PLOVIDBA,Bar,113,Zoran Gospić,2010,0.0064,405,
121,IZBOR,Bar,113,Zoran Gospić,2010,0.0070,199,
112,ŽITOPRODUKT,Pljevlja,113,Zoran Gospić,2011,0.0014,100,
113,JADRANSKO BRODOG.,Herceg Novi,113,Zoran Gospić,2011,0.0010,932,
45,TELEKOM,Podgorica,113,Zoran Gospić,2011,0.0010,1286,
122,/,Podgorica,113,Zoran Gospić,2011,/,/,/
8,AD PLANTAŽE,Podgorica,113,Zoran Gospić,2011,0.0015,950,
115,DUVANSKI KOM.,Podgorica,113,Zoran Gospić,2011,0.0072,447,
116,INSTITUT S. MILOŠEVIĆ,Herceg Novi,113,Zoran Gospić,2011,0.0010,1650,
117,JUFOPEREOL,Kotor,113,Zoran Gospić,2011,0.0019,721,
123,/,Podgorica,113,Zoran Gospić,2011,/,/,/
119,TRED,Podgorica,113,Zoran Gospić,2011,0.0020,313,
120,BARSKA PLOVIDBA,Bar,113,Zoran Gospić,2011,0.0064,405,
121,IZBOR,Bar,113,Zoran Gospić,2011,0.0070,199,
112,ŽITOPRODUKT,Pljevlja,113,Zoran Gospić,2012,0.0014,100,/
113,JADRANSKO BRODOG.,Herceg Novi,113,Zoran Gospić,2012,0.0010,1000,/
45,TELEKOM,Podgorica,113,Zoran Gospić,2012,0.0010,1426,/
8,AD PLANTAŽE,Podgorica,113,Zoran Gospić,2012,0.0015,980,/
115,DUVANSKI KOM.,Podgorica,113,Zoran Gospić,2012,0.0072,200,/
116,INSTITUT S. MILOŠEVIĆ,Herceg Novi,113,Zoran Gospić,2012,0.0010,1432,/
117,JUFOPEREOL,Kotor,113,Zoran Gospić,2012,0.0019,826,/
93,TREND,Podgorica,113,Zoran Gospić,2012,2.0E-4,350,/
120,BARSKA PLOVIDBA,Bar,113,Zoran Gospić,2012,8.0E-4,400,/
121,IZBOR,Bar,113,Zoran Gospić,2012,7.0E-4,100,/
112,ŽITOPRODUKT,Pljevlja,113,Zoran Gospić,2013,0.0014,100,/
113,JADRANSKO BRODOG.,Herceg Novi,113,Zoran Gospić,2013,0.0010,1000,/
45,TELEKOM,Podgorica,113,Zoran Gospić,2013,0.0010,1426,/
8,AD PLANTAŽE,Podgorica,113,Zoran Gospić,2013,0.0015,980,/
115,DUVANSKI KOM.,Podgorica,113,Zoran Gospić,2013,0.0072,200,/
116,INSTITUT S. MILOŠEVIĆ,Herceg Novi,113,Zoran Gospić,2013,0.0010,1432,/
117,JUFOPEREOL,Kotor,113,Zoran Gospić,2013,0.0019,826,/
93,TREND,Podgorica,113,Zoran Gospić,2013,2.0E-4,350,/
120,BARSKA PLOVIDBA,Bar,113,Zoran Gospić,2013,8.0E-4,400,/
121,IZBOR,Bar,113,Zoran Gospić,2013,7.0E-4,100,/
112,ŽITOPRODUKT,Pljevlja,113,Zoran Gospić,2014,0.0014,100,/
113,JADRANSKO BRODOG.,Herceg Novi,113,Zoran Gospić,2014,0.0010,1000,/
45,TELEKOM,Podgorica,113,Zoran Gospić,2014,0.0010,1426,/
8,AD PLANTAŽE,Podgorica,113,Zoran Gospić,2014,0.0015,980,/
115,DUVANSKI KOM.,Podgorica,113,Zoran Gospić,2014,0.0072,200,/
116,INSTITUT S. MILOŠEVIĆ,Herceg Novi,113,Zoran Gospić,2014,0.0010,1432,/
117,JUFOPEREOL,Kotor,113,Zoran Gospić,2014,0.0019,826,/
93,TREND,Podgorica,113,Zoran Gospić,2014,2.0E-4,350,/
120,BARSKA PLOVIDBA,Bar,113,Zoran Gospić,2014,8.0E-4,400,/
121,IZBOR,Bar,113,Zoran Gospić,2014,7.0E-4,100,/
124,DOO PRIMARY INVEST,Podgorica,116,Milo Đukanović,2007,,,
124,DOO PRIMARY INVEST,Podgorica,117,Milo Đukanović,2007,,,
125,DOO Univerzitats,Podgorica,116,Milo Đukanović,2008,25%,,
126,"DOO ""CAPITALINVEST""",Podgorica,116,Milo Đukanović,2008,100%,,
127,DOO PRIMARY INVEST,Podgorica,116,Milo Đukanović,2008,100%,,
128,DOO SELECT INVESTMENTS PODGORICA,Podgorica,116,Milo Đukanović,2008,100%,,
129,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2008,50%,,
125,DOO Univerzitats,Podgorica,117,Milo Đukanović,2008,25%,,
126,"DOO ""CAPITALINVEST""",Podgorica,117,Milo Đukanović,2008,100%,,
127,DOO PRIMARY INVEST,Podgorica,117,Milo Đukanović,2008,100%,,
128,DOO SELECT INVESTMENTS PODGORICA,Podgorica,117,Milo Đukanović,2008,100,,
129,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2008,50%,,
130,DOO Univerzitats,Podgorica,116,Milo Đukanović,2009,25%,25 % DO VISINE OSNIVAČKOG ULOGA (PRENOS PRAVA NA UPRAVLJANJE,
131,"DOO ""CAPITALINVEST""",Podgorica,116,Milo Đukanović,2009,100%,,
132,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2009,50%,,
130,DOO Univerzitats,Podgorica,117,Milo Đukanović,2009,25%,25 % DO VISINE OSNIVAČKOG ULOGA (PRENOS PRAVA NA UPRAVLJANJE,
131,"DOO ""CAPITALINVEST""",Podgorica,117,Milo Đukanović,2009,100%,,
132,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2009,50%,,
133,DOO Univerzitats,Podgorica,116,Milo Đukanović,2010,25%,/,J GLOMAZIĆ
134,DOO Capitalinvest,Podgorica,116,Milo Đukanović,2010,100%,/,P JOVOVIĆ
135,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2010,50%,/,M STANIŠIĆ
133,DOO Univerzitats,Podgorica,117,Milo Đukanović,2010,25%,/,J GLOMAZIĆ
134,DOO Capitalinvest,Podgorica,117,Milo Đukanović,2010,100%,/,P JOVOVIĆ
135,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2010,50%,/,M STANIŠIĆ
136,DOO Univerzitats,Podgorica,116,Milo Đukanović,2011,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,116,Milo Đukanović,2011,100%,/,P. Jovović
138,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2011,50%,/,M. Stanišić
136,DOO Univerzitats,Podgorica,117,Milo Đukanović,2011,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,117,Milo Đukanović,2011,100%,/,P. Jovović
138,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2011,50%,/,M. Stanišić
136,DOO Univerzitats,Podgorica,116,Milo Đukanović,2012,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,116,Milo Đukanović,2012,100%,/,R. Jovović
138,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2012,50%,/,A. Kolinović
136,DOO Univerzitats,Podgorica,117,Milo Đukanović,2012,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,117,Milo Đukanović,2012,100%,/,R. Jovović
138,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2012,50%,/,A. Kolinović
136,DOO Univerzitats,Podgorica,116,Milo Đukanović,2013,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,116,Milo Đukanović,2013,100%,/,R. Jovović
139,DOO Global Montenegro,,116,Milo Đukanović,2013,,,
136,DOO Univerzitats,Podgorica,117,Milo Đukanović,2013,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,117,Milo Đukanović,2013,100%,/,R. Jovović
139,DOO Global Montenegro,,117,Milo Đukanović,2013,,,
136,DOO Univerzitats,Podgorica,116,Milo Đukanović,2014,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,116,Milo Đukanović,2014,100%,/,R. Jovović
138,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2014,50%,/,A. Kolinović
136,DOO Univerzitats,Podgorica,117,Milo Đukanović,2014,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,117,Milo Đukanović,2014,100%,/,R. Jovović
138,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2014,50%,/,A. Kolinović
136,DOO Univerzitats,Podgorica,116,Milo Đukanović,2015,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,116,Milo Đukanović,2015,100%,/,R. Jovović
138,DOO Global Montenegro,Podgorica,116,Milo Đukanović,2015,50%,/,A. Kolinović
136,DOO Univerzitats,Podgorica,117,Milo Đukanović,2015,25%,/,J. Glomazić
137,DOO Capitalinvest,Podgorica,117,Milo Đukanović,2015,100%,/,R. Jovović
138,DOO Global Montenegro,Podgorica,117,Milo Đukanović,2015,50%,/,A. Kolinović
75,MONETA,Podgorica,119,Mehmed Zenka,2010,VAUČER,/,/
75,MONETA,Podgorica,119,Mehmed Zenka,2011,VAUČER,/,/
75,MONETA,Podgorica,119,Mehmed Zenka,2012,VAUČER,/,/
140,FOND MONETA,Podgorica,119,Mehmed Zenka,2012,VAUČER,/,/
75,MONETA,Podgorica,119,Mehmed Zenka,2013,VAUČER,/,/
140,FOND MONETA,Podgorica,119,Mehmed Zenka,2013,VAUČER,/,/
75,MONETA,Podgorica,119,Mehmed Zenka,2014,VAUČER,/,/
140,FOND MONETA,Podgorica,119,Mehmed Zenka,2014,VAUČER,/,/
141,HLT,Podgorica,121,Budimir Aleksić,2009,,MVP,
142,HLT,Podgorica,121,Budimir Aleksić,2010,,140,
142,HLT,Podgorica,121,Budimir Aleksić,2011,/,140,/
142,HLT,Podgorica,121,Budimir Aleksić,2012,/,140,/
143,MCONSULT,Podgorica,123,Miodrag Vlahović,2006,100%,,
,ITALMOBIL,,123,Miodrag Vlahović,2006,11%,,
144,MCONSULT PODGORICA,Podgorica,123,Miodrag Vlahović,2009,,,
145,MCONSUT DOO,Podgorica,123,Miodrag Vlahović,2010,100%,100,BILJANA PAVLJIČIĆ
146,MCONSUT DOO,Podgorica,123,Miodrag Vlahović,2011,100%,100 €,BILJANA PAVLIČIĆ
147,PRVA BANKA,Podgorica,126,Miodrag Vuković,2012,/,1000 €,/
147,PRVA BANKA,Podgorica,126,Miodrag Vuković,2013,10,1.278.20,/
